day,hours,batch-code,batch,cno,title,credits,fac
3WED,H2,01-2,B Tech (ICT n CS)-II,SC217,Electromagnetic Theory,3-1-0-4,AR
3WED,H2,01-2,B Tech (ICT n CS)-II,SC217,Electromagnetic Theory,3-1-0-4,MT
3WED,H2,01-3,B Tech (ICT n CS)-III,HM116,Principles of Economics,3-0-0-3,AP
3WED,H2,01-4,B Tech (ICT n CS)-IV,HM333,Human Behaviour Management,3-0-0-3,N Banerjee
3WED,H2,01-4,B Tech (ICT n CS)-IV,HM334,Art: Ideas and Perspectives,3-0-0-3,SRG
3WED,H2,01-4,B Tech (ICT n CS)-IV,HM484,Modern European Philosophy,3-0-0-3,BK
3WED,H2,03-2,B Tech (MnC)-II,MC214,Operating Systems,3-0-2-4,SS
3WED,H2,04-1,M Tech (ICT)-I,SC532,"Linear Algebra, Random Variables and Processes",3-0-0-3,AG
3WED,H2,05-1,M Tech (EC-CRR)-I,SC532,"Linear Algebra, Random Variables and Processes",3-0-0-3,AG
3WED,H2,06-1,MSc (IT)-I,IT603,Programming,3-0-2-4,LS
3WED,H2,06-2,MSc (IT)-II,HM333,Human Behaviour Management,3-0-0-3,N Banerjee
3WED,H2,06-2,MSc (IT)-II,HM334,Art: Ideas and Perspectives,3-0-0-3,SRG
3WED,H2,06-2,MSc (IT)-II,HM484,Modern European Philosophy,3-0-0-3,BK
3WED,H2,07-2,MSc (DS)-II,HM333,Human Behaviour Management,3-0-0-3,N Banerjee
3WED,H2,07-2,MSc (DS)-II,HM334,Art: Ideas and Perspectives,3-0-0-3,SRG
3WED,H2,07-2,MSc (DS)-II,HM484,Modern European Philosophy,3-0-0-3,BK
3WED,H3,01-3,B Tech (CS) -III,CS374,Computational and Numerical Methods,3-0-3-4.5,MKR
3WED,H3,01-4,B Tech (CS) -IV,CS401,Computational Finance,3-0-0-3,JM
3WED,H3,03-1,B Tech (MnC)-I,MC111,"Mathematical, Algorithmic, and Computational Thinking",3-1-0-4,VS
3WED,H3,07-2,MSc (DS)-II,CS401,Computational Finance,3-0-0-3,JM
4THU,H1,01-2,B Tech (ICT n CS)-II,HM216,"Science, Technology, Society",3-0-0-3,SJ
4THU,H1,01-3,B Tech (ICT n CS)-III,EL203,Embedded Hardware Design,3-0-3-4.5,TKM
4THU,H1,01-4,B Tech (ICT n CS)-IV,SC322,Introduction to Graph Theory,3-0-0-3,VS
4THU,H1,01-4,B Tech (ICT n CS)-IV,SC421,Introduction to Modern Algebra,3-0-0-3,GD
4THU,H1,01-4,B Tech (ICT n CS)-IV,SC435,Introduction to Complex Network,3-0-0-3,MT
4THU,H1,03-2,B Tech (MnC)-II,HM216,"Science, Technology, Society",3-0-0-3,SJ
4THU,H1,04-2,M Tech (ICT)-II,PC506,Technical Writing,1-0-0-1,SKS
4THU,H1,05-2,M Tech (EC-CRR)-II,PC511,Communication Skills and Technical Writing,1-0-0-1,SKS
4THU,H1,06-1,MSc (IT)-I,IT623,Algorithms and Data Structures,3-0-2-4,PS
4THU,H1,06-2,MSc (IT)-II,IT627,Cloud Computing,3-0-2-4,LS
4THU,H1,07-1,MSc (DS)-I,SC613,Mathematical Foundation for Data Science,3-1-0-4,BC
4THU,H1,07-2,MSc (DS)-II,IT627,Cloud Computing,3-0-2-4,LS
4THU,H2,01-1,B Tech (ICT n CS)-I,EL111,Basic Electronic Circuits,3-0-2-4,AK
4THU,H2,01-1,B Tech (ICT n CS)-I,EL111,Basic Electronic Circuits,3-0-2-4,SM
4THU,H2,01-2,B Tech (ICT n CS)-II,IT216,Design and Analysis of Algorithms,3-0-2-4,AT2
4THU,H2,01-2,B Tech (ICT n CS)-II,IT216,Design and Analysis of Algorithms,3-0-2-4,SP
4THU,H2,01-3,B Tech (ICT n CS)-III,IT214,Database Management Systems,3-0-3-4.5,MB
4THU,H2,01-4,B Tech (ICT n CS)-IV,CT421,Advanced Digital Signal Processing,3-0-2-4,HP
4THU,H2,01-4,B Tech (ICT n CS)-IV,CT425,RF and Antenna Engineering,3-0-0-3,SG
4THU,H2,01-4,B Tech (ICT n CS)-IV,IE407,Internet of Things,3-0-2-4,VSP
4THU,H2,01-4,B Tech (ICT n CS)-IV,IT486,Blockchains and Cryptocurrencies,3-0-0-3,AMM
4THU,H2,03-1,B Tech (MnC)-I,MC112,Computer Organization and Programming,3-0-0-3,SB
4THU,H2,03-2,B Tech (MnC)-II,MC211,Functions of Several Variables and PDEs ,3-1-0-4,MS
4THU,H2,04-1,M Tech (ICT)-I,CT421,Advanced Digital Signal Processing,3-0-2-4,HP
4THU,H2,04-1,M Tech (ICT)-I,EL524,Basics of VLSI,3-0-0-3,DNC
4THU,H2,04-1,M Tech (ICT)-I,SC531,Probability and Random Variables,3-0-0-3,NDJ
4THU,H2,04-2,M Tech (ICT)-II,EL504,Selected Topics in VLSI,3-0-2-4,RP
